Previous_Location,Locations (city/country),Budget (USD),Weather_condition,Month,Distance (km),Gender,Accommodation,Languages,Travel_Companions
"Rio de Janeiro, Brazil","Barcelona, Spain",1500-3000 USD,Rainy,December,8539.44,Female,Hotel,"['Spanish', 'Catalan']",Couple
"Rio de Janeiro, Brazil","Moscow, Russia",800-1500 USD,Rainy,September,11543.76,Male,GuestHouse,['Russian'],Couple
"Rio de Janeiro, Brazil","Amsterdam, Netherlands",1500-3000 USD,Rainy,December,9576.96,Male,Airbnb,"['Dutch', 'English']",Couple
"Sydney, Australia","Rome, Italy",1500-3000 USD,Sunny,August,16321.06,Female,Airbnb,['Italian'],Friends
"Toronto, Canada","Los Angeles, USA",1500-3000 USD,Sunny,August,3497.26,Female,GuestHouse,"['English', 'Spanish']",Couple
"Sydney, Australia","Moscow, Russia",800-1500 USD,Rainy,September,14496.16,Male,GuestHouse,['Russian'],Colleagues
"Dubai, UAE","Moscow, Russia",800-1500 USD,Cold,February,3679.77,Male,Hotel,['Russian'],Colleagues
"Moscow, Russia","Los Angeles, USA",1500-3000 USD,Rainy,January,9769.1,Male,GuestHouse,"['English', 'Spanish']",Couple
"Mexico City, Mexico","Barcelona, Spain",1500-3000 USD,Sunny,June,9489.44,Female,Hotel,"['Spanish', 'Catalan']",Couple
"Bangkok, Thailand","Kuala Lumpur, Malaysia",800-1500 USD,Sunny,April,1187.74,Female,Airbnb,"['Malay', 'English']",Friends
"Cairo, Egypt","Rome, Italy",1500-3000 USD,Sunny,June,2132.44,Female,Hotel,['Italian'],Couple
"Los Angeles, USA","Tokyo, Japan",1500-3000 USD,Sunny,July,8819.39,Female,Airbnb,['Japanese'],Solo
"Dubai, UAE","Mexico City, Mexico",800-1500 USD,Cold,December,14326.45,Male,Hotel,['Spanish'],Solo
"Hanoi, Vietnam","Mumbai, India",800-1500 USD,Dry,October,3445.4,Male,Airbnb,"['Hindi', 'English']",Couple
"Tokyo, Japan","Vienna, Austria",1500-3000 USD,Cold,December,9126.88,Female,Airbnb,['German'],Couple
"Vienna, Austria","Los Angeles, USA",1500-3000 USD,Sunny,June,9818.52,Female,GuestHouse,"['English', 'Spanish']",Friends
"Berlin, Germany","Los Angeles, USA",1500-3000 USD,Sunny,July,9309.68,Male,GuestHouse,"['English', 'Spanish']",Couple
"Rio de Janeiro, Brazil","Nairobi, Kenya",800-1500 USD,Humid,March,8926.89,Male,Airbnb,"['Swahili', 'English']",Solo
"Buenos Aires, Argentina","London, UK",1500-3000 USD,Sunny,July,11127.8,Male,GuestHouse,['English'],Family
"Los Angeles, USA","Amsterdam, Netherlands",1500-3000 USD,Rainy,November,8939.71,Female,GuestHouse,"['Dutch', 'English']",Solo
"Nairobi, Kenya","Sydney, Australia",1500-3000 USD,Sunny,February,12152.19,Female,Hotel,['English'],Family
"Cairo, Egypt","Toronto, Canada",1500-3000 USD,Rainy,May,9206.51,Male,GuestHouse,"['English', 'French']",Family
"Los Angeles, USA","New York, USA",1500-3000 USD,Cloudy,December,3935.75,Male,Airbnb,"['English', 'Spanish']",Friends
"Lisbon, Portugal","Berlin, Germany",1500-3000 USD,Rainy,April,2312.12,Female,Hotel,"['German', 'English']",Couple
"New York, USA",Singapore,1500-3000 USD,Sunny,February,15332.5,Male,Hotel,"['English', 'Mandarin']",Colleagues
"New York, USA","Toronto, Canada",1500-3000 USD,Snowy,January,547.91,Female,Hotel,"['English', 'French']",Friends
"Hanoi, Vietnam","Cairo, Egypt",500-800 USD,Hot,August,7427.62,Male,GuestHouse,"['Arabic', 'English']",Couple
"Berlin, Germany","Mumbai, India",800-1500 USD,Humid,June,6286.15,Female,Airbnb,"['Hindi', 'English']",Couple
"Buenos Aires, Argentina","Kuala Lumpur, Malaysia",800-1500 USD,Humid,June,15955.14,Male,Hotel,"['Malay', 'English']",Solo
"Paris, France","Moscow, Russia",800-1500 USD,Rainy,August,2486.25,Male,Hotel,['Russian'],Family
"New York, USA","Moscow, Russia",800-1500 USD,Rainy,September,7510.26,Male,Hotel,['Russian'],Couple
"Toronto, Canada","Nairobi, Kenya",800-1500 USD,Humid,March,12180.3,Male,GuestHouse,"['Swahili', 'English']",Couple
"Buenos Aires, Argentina","Berlin, Germany",1500-3000 USD,Rainy,May,11909.52,Female,Airbnb,"['German', 'English']",Solo
"Sydney, Australia","Budapest, Hungary",800-1500 USD,Cold,January,15783.99,Male,GuestHouse,['Hungarian'],Couple
"New York, USA","Berlin, Germany",1500-3000 USD,Rainy,May,6385.0,Male,Airbnb,"['German', 'English']",Friends
"Paris, France","Amsterdam, Netherlands",1500-3000 USD,Rainy,December,429.86,Male,Hotel,"['Dutch', 'English']",Solo
"Dubai, UAE","Rome, Italy",1500-3000 USD,Snowy,January,4317.89,Male,GuestHouse,['Italian'],Friends
"Bangkok, Thailand","Rio de Janeiro, Brazil",500-800 USD,Sunny,December,16059.83,Female,Airbnb,['Portuguese'],Couple
"Mexico City, Mexico","Lisbon, Portugal",800-1500 USD,Sunny,June,8671.35,Male,Hotel,['Portuguese'],Couple
"Vienna, Austria","Lisbon, Portugal",800-1500 USD,Rainy,October,2298.46,Male,Airbnb,['Portuguese'],Family
"Nairobi, Kenya","Moscow, Russia",800-1500 USD,Cold,February,6343.22,Male,GuestHouse,['Russian'],Colleagues
"New York, USA",Singapore,1500-3000 USD,Rainy,December,15332.5,Female,Hotel,"['English', 'Mandarin']",Couple
"Tokyo, Japan","Mumbai, India",800-1500 USD,Humid,July,6720.31,Male,Hotel,"['Hindi', 'English']",Friends
"Rome, Italy","Vienna, Austria",1500-3000 USD,Sunny,June,764.17,Female,Hotel,['German'],Solo
"Mumbai, India","London, UK",1500-3000 USD,Rainy,April,7191.7,Male,Hotel,['English'],Colleagues
"Kuala Lumpur, Malaysia","Berlin, Germany",1500-3000 USD,Snowy,December,9614.39,Female,Airbnb,"['German', 'English']",Friends
"London, UK","Bangkok, Thailand",500-800 USD,Rainy,October,9531.82,Male,GuestHouse,"['Thai', 'English']",Couple
"Rome, Italy","Paris, France",1500-3000 USD,Rainy,March,1105.28,Male,Airbnb,['French'],Family
"Hanoi, Vietnam","Tokyo, Japan",1500-3000 USD,Sunny,July,3661.18,Male,GuestHouse,['Japanese'],Couple
"Seoul, South Korea","Dubai, UAE",1500-3000 USD,Rainy,December,6777.11,Female,Hotel,"['Arabic', 'English']",Colleagues
"Budapest, Hungary","Dubai, UAE",1500-3000 USD,Rainy,December,4020.02,Female,Hotel,"['Arabic', 'English']",Couple
"Toronto, Canada","Lisbon, Portugal",800-1500 USD,Rainy,October,5723.06,Female,Airbnb,['Portuguese'],Friends
"Budapest, Hungary","Rio de Janeiro, Brazil",500-800 USD,Rainy,April,9987.41,Female,Hotel,['Portuguese'],Solo
"Toronto, Canada","Cairo, Egypt",500-800 USD,Windy,April,9206.51,Male,GuestHouse,"['Arabic', 'English']",Friends
"Cairo, Egypt","Nairobi, Kenya",800-1500 USD,Sunny,January,3533.78,Female,Airbnb,"['Swahili', 'English']",Friends
"Lisbon, Portugal","Dubai, UAE",1500-3000 USD,Sunny,October,6131.54,Male,GuestHouse,"['Arabic', 'English']",Colleagues
"Mumbai, India","Los Angeles, USA",1500-3000 USD,Sunny,June,13991.18,Male,GuestHouse,"['English', 'Spanish']",Solo
"New York, USA","Buenos Aires, Argentina",800-1500 USD,Sunny,January,8526.19,Male,Airbnb,['Spanish'],Family
"Cairo, Egypt","Vienna, Austria",1500-3000 USD,Sunny,July,2382.8,Female,Hotel,['German'],Friends
"Cairo, Egypt","Hanoi, Vietnam",500-800 USD,Sunny,March,7427.62,Female,Hotel,['Vietnamese'],Friends
"Santiago, Chile","Rome, Italy",1500-3000 USD,Snowy,January,11910.21,Female,Airbnb,['Italian'],Family
"Santiago, Chile","Toronto, Canada",1500-3000 USD,Sunny,July,8618.25,Male,Hotel,"['English', 'French']",Couple
"Tokyo, Japan","Mexico City, Mexico",800-1500 USD,Sunny,March,11309.86,Male,Airbnb,['Spanish'],Friends
"Paris, France","Kuala Lumpur, Malaysia",800-1500 USD,Sunny,March,10424.01,Male,Hotel,"['Malay', 'English']",Couple
"Sydney, Australia","Moscow, Russia",800-1500 USD,Cold,February,14496.16,Female,GuestHouse,['Russian'],Colleagues
"Mumbai, India","Moscow, Russia",800-1500 USD,Cold,January,5027.96,Female,Airbnb,['Russian'],Family
"Vienna, Austria","Cape Town, South Africa",800-1500 USD,Rainy,July,9135.06,Female,Hotel,"['English', 'Afrikaans', 'Xhosa']",Solo
"Moscow, Russia","Paris, France",1500-3000 USD,Rainy,March,2486.25,Female,Hotel,['French'],Family
"Barcelona, Spain","Kuala Lumpur, Malaysia",800-1500 USD,Humid,July,10566.48,Female,GuestHouse,"['Malay', 'English']",Couple
"Berlin, Germany","Rio de Janeiro, Brazil",500-800 USD,Sunny,December,10008.55,Female,Airbnb,['Portuguese'],Friends
"Paris, France","Toronto, Canada",1500-3000 USD,Snowy,January,5998.56,Female,Airbnb,"['English', 'French']",Couple
"Moscow, Russia","Vienna, Austria",1500-3000 USD,Cold,January,1669.7,Male,GuestHouse,['German'],Friends
"New York, USA","Vienna, Austria",1500-3000 USD,Sunny,June,6796.33,Male,Hotel,['German'],Couple
"Seoul, South Korea","Rome, Italy",1500-3000 USD,Rainy,November,8966.28,Female,Airbnb,['Italian'],Friends
"Mexico City, Mexico","Rio de Janeiro, Brazil",500-800 USD,Rainy,April,7683.47,Male,GuestHouse,['Portuguese'],Couple
"Kuala Lumpur, Malaysia","Istanbul, Turkey",800-1500 USD,Sunny,May,8332.55,Female,GuestHouse,['Turkish'],Family
"Tokyo, Japan","Nairobi, Kenya",800-1500 USD,Sunny,January,11247.99,Male,Hotel,"['Swahili', 'English']",Solo
"Amsterdam, Netherlands","Nairobi, Kenya",800-1500 USD,Humid,March,6668.81,Male,GuestHouse,"['Swahili', 'English']",Solo
"Santiago, Chile","Sydney, Australia",1500-3000 USD,Sunny,January,11346.72,Male,GuestHouse,['English'],Family
"Rome, Italy","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,9707.54,Female,GuestHouse,"['Malay', 'English']",Friends
Singapore,"Barcelona, Spain",1500-3000 USD,Rainy,November,10875.52,Female,GuestHouse,"['Spanish', 'Catalan']",Solo
"Hanoi, Vietnam","London, UK",1500-3000 USD,Rainy,April,9235.44,Female,GuestHouse,['English'],Family
"Toronto, Canada","Mumbai, India",800-1500 USD,Dry,November,12487.09,Female,GuestHouse,"['Hindi', 'English']",Family
"Kuala Lumpur, Malaysia","Istanbul, Turkey",800-1500 USD,Cold,February,8332.55,Male,Airbnb,['Turkish'],Family
"Mexico City, Mexico","Mumbai, India",800-1500 USD,Sunny,February,15645.37,Male,GuestHouse,"['Hindi', 'English']",Couple
"Lisbon, Portugal","Berlin, Germany",1500-3000 USD,Sunny,July,2312.12,Male,GuestHouse,"['German', 'English']",Couple
"Tokyo, Japan","Buenos Aires, Argentina",800-1500 USD,Cold,August,18373.43,Male,Airbnb,['Spanish'],Couple
"Buenos Aires, Argentina","Dubai, UAE",1500-3000 USD,Sunny,November,13652.34,Male,Airbnb,"['Arabic', 'English']",Colleagues
"New York, USA","Vienna, Austria",1500-3000 USD,Cold,January,6796.33,Male,Airbnb,['German'],Friends
"Hanoi, Vietnam","London, UK",1500-3000 USD,Sunny,July,9235.44,Female,Airbnb,['English'],Colleagues
"Cairo, Egypt","Nairobi, Kenya",800-1500 USD,Rainy,May,3533.78,Female,GuestHouse,"['Swahili', 'English']",Solo
"Los Angeles, USA","Istanbul, Turkey",800-1500 USD,Cold,February,11020.01,Male,Airbnb,['Turkish'],Couple
"Toronto, Canada","Budapest, Hungary",800-1500 USD,Rainy,April,7121.98,Female,Hotel,['Hungarian'],Family
"Cape Town, South Africa","Cairo, Egypt",500-800 USD,Sunny,October,7239.25,Male,Hotel,"['Arabic', 'English']",Friends
Singapore,"Rome, Italy",1500-3000 USD,Rainy,December,10016.63,Female,GuestHouse,['Italian'],Friends
"Toronto, Canada","Moscow, Russia",800-1500 USD,Cold,January,7482.89,Male,Airbnb,['Russian'],Couple
"Tokyo, Japan","Kuala Lumpur, Malaysia",800-1500 USD,Sunny,April,5317.74,Male,GuestHouse,"['Malay', 'English']",Solo
"Lisbon, Portugal","Berlin, Germany",1500-3000 USD,Sunny,July,2312.12,Female,Hotel,"['German', 'English']",Couple
"Seoul, South Korea",Singapore,1500-3000 USD,Rainy,November,4671.94,Female,Airbnb,"['English', 'Mandarin']",Couple
"Seoul, South Korea","Dubai, UAE",1500-3000 USD,Rainy,December,6777.11,Male,Hotel,"['Arabic', 'English']",Couple
"Seoul, South Korea","Buenos Aires, Argentina",800-1500 USD,Sunny,January,19431.73,Male,GuestHouse,['Spanish'],Friends
Singapore,"Buenos Aires, Argentina",800-1500 USD,Cold,August,15882.39,Female,GuestHouse,['Spanish'],Couple
"Kuala Lumpur, Malaysia","Paris, France",1500-3000 USD,Rainy,April,10424.01,Female,Airbnb,['French'],Couple
"Mumbai, India","Sydney, Australia",1500-3000 USD,Sunny,February,10156.82,Female,Airbnb,['English'],Family
"Los Angeles, USA","Moscow, Russia",800-1500 USD,Cold,February,9769.1,Male,Hotel,['Russian'],Family
"Tokyo, Japan",Singapore,1500-3000 USD,Humid,April,5311.22,Female,Hotel,"['English', 'Mandarin']",Colleagues
"Bangkok, Thailand","Mexico City, Mexico",800-1500 USD,Rainy,July,15744.33,Female,GuestHouse,['Spanish'],Solo
"Sydney, Australia",Singapore,1500-3000 USD,Rainy,November,6306.25,Male,Airbnb,"['English', 'Mandarin']",Friends
"Amsterdam, Netherlands","London, UK",1500-3000 USD,Cloudy,November,357.89,Female,Airbnb,['English'],Couple
"Cairo, Egypt","Amsterdam, Netherlands",1500-3000 USD,Cloudy,October,3282.08,Male,GuestHouse,"['Dutch', 'English']",Couple
"Amsterdam, Netherlands","Nairobi, Kenya",800-1500 USD,Sunny,December,6668.81,Male,GuestHouse,"['Swahili', 'English']",Couple
"Nairobi, Kenya","Seoul, South Korea",1500-3000 USD,Sunny,April,10108.92,Male,GuestHouse,['Korean'],Couple
"Mumbai, India","Budapest, Hungary",800-1500 USD,Rainy,May,5765.44,Female,GuestHouse,['Hungarian'],Couple
"Hanoi, Vietnam","Tokyo, Japan",1500-3000 USD,Rainy,September,3661.18,Female,Airbnb,['Japanese'],Friends
"Mumbai, India","Mexico City, Mexico",800-1500 USD,Cold,January,15645.37,Male,Hotel,['Spanish'],Solo
"Budapest, Hungary","London, UK",1500-3000 USD,Sunny,July,1449.24,Female,Airbnb,['English'],Colleagues
"Sydney, Australia","Rio de Janeiro, Brazil",500-800 USD,Rainy,March,13521.03,Male,Hotel,['Portuguese'],Solo
"Lisbon, Portugal","Istanbul, Turkey",800-1500 USD,Sunny,May,3237.35,Female,GuestHouse,['Turkish'],Friends
"Cairo, Egypt","Barcelona, Spain",1500-3000 USD,Sunny,August,2892.41,Male,GuestHouse,"['Spanish', 'Catalan']",Couple
"Moscow, Russia","London, UK",1500-3000 USD,Sunny,July,2500.54,Female,Airbnb,['English'],Couple
"Toronto, Canada","Rio de Janeiro, Brazil",500-800 USD,Rainy,March,8270.12,Female,Airbnb,['Portuguese'],Solo
"Rome, Italy","Nairobi, Kenya",800-1500 USD,Sunny,January,5389.19,Female,Hotel,"['Swahili', 'English']",Solo
"Lisbon, Portugal",Singapore,1500-3000 USD,Sunny,February,11878.64,Male,Airbnb,"['English', 'Mandarin']",Friends
"Toronto, Canada","Mexico City, Mexico",800-1500 USD,Cold,December,3262.75,Female,Airbnb,['Spanish'],Solo
"Los Angeles, USA","Tokyo, Japan",1500-3000 USD,Rainy,June,8819.39,Female,GuestHouse,['Japanese'],Solo
"Paris, France","Hanoi, Vietnam",500-800 USD,Rainy,May,9197.28,Male,Airbnb,['Vietnamese'],Couple
"London, UK","Barcelona, Spain",1500-3000 USD,Rainy,November,1139.12,Male,GuestHouse,"['Spanish', 'Catalan']",Solo
"Bangkok, Thailand","Hanoi, Vietnam",500-800 USD,Rainy,May,987.86,Male,GuestHouse,['Vietnamese'],Couple
"Vienna, Austria","Toronto, Canada",1500-3000 USD,Rainy,May,6914.97,Female,Airbnb,"['English', 'French']",Family
"Rio de Janeiro, Brazil","Paris, France",1500-3000 USD,Cloudy,December,9167.42,Male,GuestHouse,['French'],Couple
"Los Angeles, USA",Singapore,1500-3000 USD,Sunny,February,14120.98,Male,GuestHouse,"['English', 'Mandarin']",Friends
"New York, USA","Istanbul, Turkey",800-1500 USD,Rainy,November,8069.83,Male,GuestHouse,['Turkish'],Couple
"Rome, Italy","Sydney, Australia",1500-3000 USD,Sunny,January,16321.06,Female,Hotel,['English'],Family
"Mexico City, Mexico","Amsterdam, Netherlands",1500-3000 USD,Sunny,June,9216.7,Male,GuestHouse,"['Dutch', 'English']",Couple
"Sydney, Australia",Singapore,1500-3000 USD,Humid,April,6306.25,Female,GuestHouse,"['English', 'Mandarin']",Colleagues
"Mexico City, Mexico","Lisbon, Portugal",800-1500 USD,Sunny,June,8671.35,Male,Hotel,['Portuguese'],Couple
"Rome, Italy","Mexico City, Mexico",800-1500 USD,Rainy,August,10240.25,Male,Hotel,['Spanish'],Friends
"Cairo, Egypt","Paris, France",1500-3000 USD,Sunny,June,3210.01,Female,Hotel,['French'],Solo
"Sydney, Australia","Bangkok, Thailand",500-800 USD,Sunny,November,7536.41,Female,GuestHouse,"['Thai', 'English']",Couple
"Rome, Italy","Toronto, Canada",1500-3000 USD,Rainy,April,7078.77,Female,Hotel,"['English', 'French']",Friends
"Amsterdam, Netherlands","Dubai, UAE",1500-3000 USD,Rainy,December,5154.72,Female,GuestHouse,"['Arabic', 'English']",Family
Singapore,"Seoul, South Korea",1500-3000 USD,Sunny,April,4671.94,Male,GuestHouse,['Korean'],Family
"New York, USA","Mexico City, Mexico",800-1500 USD,Sunny,March,3359.38,Male,GuestHouse,['Spanish'],Friends
"Lisbon, Portugal","Cape Town, South Africa",800-1500 USD,Rainy,June,8563.15,Female,Airbnb,"['English', 'Afrikaans', 'Xhosa']",Couple
"Mumbai, India","Nairobi, Kenya",800-1500 USD,Sunny,January,4541.83,Male,Airbnb,"['Swahili', 'English']",Solo
Singapore,"Berlin, Germany",1500-3000 USD,Sunny,July,9916.3,Female,Hotel,"['German', 'English']",Solo
"Toronto, Canada","Lisbon, Portugal",800-1500 USD,Cloudy,January,5723.06,Male,GuestHouse,['Portuguese'],Friends
"Lisbon, Portugal","Berlin, Germany",1500-3000 USD,Rainy,May,2312.12,Female,Airbnb,"['German', 'English']",Solo
"Seoul, South Korea","New York, USA",1500-3000 USD,Cloudy,November,11052.58,Female,Airbnb,"['English', 'Spanish']",Family
"Istanbul, Turkey","Nairobi, Kenya",800-1500 USD,Humid,March,4769.31,Female,Hotel,"['Swahili', 'English']",Solo
"Kuala Lumpur, Malaysia","Budapest, Hungary",800-1500 USD,Cold,February,9198.09,Male,GuestHouse,['Hungarian'],Family
"Moscow, Russia","Cairo, Egypt",500-800 USD,Sunny,October,2902.99,Male,GuestHouse,"['Arabic', 'English']",Family
Singapore,"Nairobi, Kenya",800-1500 USD,Sunny,January,7455.45,Female,Airbnb,"['Swahili', 'English']",Friends
"Toronto, Canada","Tokyo, Japan",1500-3000 USD,Rainy,September,10353.22,Female,Airbnb,['Japanese'],Solo
Singapore,"Berlin, Germany",1500-3000 USD,Snowy,December,9916.3,Male,Airbnb,"['German', 'English']",Solo
"Mumbai, India","Barcelona, Spain",1500-3000 USD,Rainy,December,7031.08,Male,Hotel,"['Spanish', 'Catalan']",Solo
"Mexico City, Mexico","Buenos Aires, Argentina",800-1500 USD,Sunny,January,7392.18,Male,Hotel,['Spanish'],Couple
"Berlin, Germany","Mexico City, Mexico",800-1500 USD,Rainy,August,9726.67,Female,Airbnb,['Spanish'],Solo
"Dubai, UAE","Paris, France",1500-3000 USD,Sunny,August,5242.95,Female,Hotel,['French'],Family
"Lisbon, Portugal","Seoul, South Korea",1500-3000 USD,Sunny,May,10417.76,Female,GuestHouse,['Korean'],Friends
"Sydney, Australia","Amsterdam, Netherlands",1500-3000 USD,Sunny,June,16642.9,Female,GuestHouse,"['Dutch', 'English']",Friends
"Mumbai, India","Los Angeles, USA",1500-3000 USD,Rainy,January,13991.18,Female,Hotel,"['English', 'Spanish']",Couple
"London, UK","Toronto, Canada",1500-3000 USD,Rainy,May,5710.35,Female,GuestHouse,"['English', 'French']",Friends
"Hanoi, Vietnam","London, UK",1500-3000 USD,Sunny,July,9235.44,Female,GuestHouse,['English'],Couple
"New York, USA","Berlin, Germany",1500-3000 USD,Rainy,April,6385.0,Female,Hotel,"['German', 'English']",Solo
"Amsterdam, Netherlands","Paris, France",1500-3000 USD,Sunny,August,429.86,Male,Airbnb,['French'],Couple
"Tokyo, Japan","Dubai, UAE",1500-3000 USD,Sunny,November,7923.64,Female,Hotel,"['Arabic', 'English']",Family
"Rio de Janeiro, Brazil","Los Angeles, USA",1500-3000 USD,Rainy,February,10143.47,Male,Hotel,"['English', 'Spanish']",Solo
"Hanoi, Vietnam","Berlin, Germany",1500-3000 USD,Snowy,January,8328.62,Male,Airbnb,"['German', 'English']",Solo
"Tokyo, Japan","Nairobi, Kenya",800-1500 USD,Rainy,April,11247.99,Female,Airbnb,"['Swahili', 'English']",Friends
"Vienna, Austria","Rome, Italy",1500-3000 USD,Snowy,January,764.17,Female,Airbnb,['Italian'],Family
"Dubai, UAE","Moscow, Russia",800-1500 USD,Rainy,August,3679.77,Female,Hotel,['Russian'],Colleagues
"Moscow, Russia","London, UK",1500-3000 USD,Cloudy,November,2500.54,Female,Hotel,['English'],Colleagues
"Rome, Italy",Singapore,1500-3000 USD,Rainy,November,10016.63,Male,Airbnb,"['English', 'Mandarin']",Couple
Singapore,"Dubai, UAE",1500-3000 USD,Rainy,December,5837.37,Male,Hotel,"['Arabic', 'English']",Colleagues
"Tokyo, Japan","Moscow, Russia",800-1500 USD,Rainy,August,7477.2,Male,GuestHouse,['Russian'],Colleagues
"Bangkok, Thailand","Seoul, South Korea",1500-3000 USD,Sunny,April,3722.1,Female,Hotel,['Korean'],Friends
"Istanbul, Turkey","Los Angeles, USA",1500-3000 USD,Sunny,June,11020.01,Female,GuestHouse,"['English', 'Spanish']",Friends
"Lisbon, Portugal","Kuala Lumpur, Malaysia",800-1500 USD,Humid,June,11569.47,Female,GuestHouse,"['Malay', 'English']",Couple
"Dubai, UAE","Mexico City, Mexico",800-1500 USD,Rainy,August,14326.45,Male,Airbnb,['Spanish'],Friends
"Nairobi, Kenya","Amsterdam, Netherlands",1500-3000 USD,Sunny,May,6668.81,Male,GuestHouse,"['Dutch', 'English']",Friends
"Paris, France","Barcelona, Spain",1500-3000 USD,Rainy,December,830.91,Male,GuestHouse,"['Spanish', 'Catalan']",Family
"Cairo, Egypt","Istanbul, Turkey",800-1500 USD,Rainy,December,1235.98,Female,GuestHouse,['Turkish'],Couple
"Berlin, Germany","Dubai, UAE",1500-3000 USD,Sunny,October,4619.52,Male,Airbnb,"['Arabic', 'English']",Colleagues
"London, UK","Istanbul, Turkey",800-1500 USD,Sunny,June,2500.78,Female,Airbnb,['Turkish'],Family
"Santiago, Chile",Singapore,1500-3000 USD,Humid,May,16400.12,Female,Airbnb,"['English', 'Mandarin']",Friends
"Vienna, Austria","Kuala Lumpur, Malaysia",800-1500 USD,Humid,June,9400.11,Female,Airbnb,"['Malay', 'English']",Solo
"London, UK","Bangkok, Thailand",500-800 USD,Sunny,November,9531.82,Female,Hotel,"['Thai', 'English']",Couple
"Nairobi, Kenya","Berlin, Germany",1500-3000 USD,Sunny,June,6370.02,Male,Hotel,"['German', 'English']",Friends
"Istanbul, Turkey","Barcelona, Spain",1500-3000 USD,Rainy,November,2234.15,Female,Airbnb,"['Spanish', 'Catalan']",Couple
"Nairobi, Kenya","Mexico City, Mexico",800-1500 USD,Rainy,August,14815.93,Female,GuestHouse,['Spanish'],Couple
"Nairobi, Kenya","Mumbai, India",800-1500 USD,Sunny,March,4541.83,Female,Hotel,"['Hindi', 'English']",Friends
"Barcelona, Spain","Cairo, Egypt",500-800 USD,Hot,July,2892.41,Male,Airbnb,"['Arabic', 'English']",Couple
"Moscow, Russia","Sydney, Australia",1500-3000 USD,Cloudy,June,14496.16,Female,GuestHouse,['English'],Friends
"New York, USA","Paris, France",1500-3000 USD,Sunny,July,5837.24,Male,GuestHouse,['French'],Solo
"Cape Town, South Africa","Rome, Italy",1500-3000 USD,Snowy,January,8453.34,Male,Airbnb,['Italian'],Friends
"Rome, Italy","Buenos Aires, Argentina",800-1500 USD,Rainy,February,11151.54,Male,GuestHouse,['Spanish'],Family
"Vienna, Austria","Bangkok, Thailand",500-800 USD,Humid,July,8440.35,Female,Hotel,"['Thai', 'English']",Solo
"Los Angeles, USA","Mumbai, India",800-1500 USD,Humid,July,13991.18,Female,Hotel,"['Hindi', 'English']",Family
"Amsterdam, Netherlands","Dubai, UAE",1500-3000 USD,Rainy,December,5154.72,Female,Airbnb,"['Arabic', 'English']",Family
"Mexico City, Mexico","Rome, Italy",1500-3000 USD,Sunny,July,10240.25,Female,Hotel,['Italian'],Friends
"Istanbul, Turkey","Seoul, South Korea",1500-3000 USD,Sunny,May,7953.75,Female,GuestHouse,['Korean'],Friends
"Rome, Italy","Cape Town, South Africa",800-1500 USD,Sunny,December,8453.34,Female,Airbnb,"['English', 'Afrikaans', 'Xhosa']",Solo
"London, UK","Paris, France",1500-3000 USD,Cloudy,December,343.56,Female,Hotel,['French'],Friends
"Mumbai, India","Rio de Janeiro, Brazil",500-800 USD,Rainy,April,13413.71,Female,GuestHouse,['Portuguese'],Couple
"Moscow, Russia","Berlin, Germany",1500-3000 USD,Sunny,June,1608.83,Male,Hotel,"['German', 'English']",Solo
"Tokyo, Japan","Toronto, Canada",1500-3000 USD,Sunny,July,10353.22,Male,Airbnb,"['English', 'French']",Friends
"Budapest, Hungary","Nairobi, Kenya",800-1500 USD,Humid,March,5692.85,Male,GuestHouse,"['Swahili', 'English']",Friends
"Sydney, Australia","Berlin, Germany",1500-3000 USD,Snowy,December,16094.5,Male,Airbnb,"['German', 'English']",Couple
"Istanbul, Turkey","Budapest, Hungary",800-1500 USD,Sunny,July,1069.54,Female,GuestHouse,['Hungarian'],Friends
"London, UK","Hanoi, Vietnam",500-800 USD,Sunny,February,9235.44,Male,Hotel,['Vietnamese'],Family
"Rome, Italy","Berlin, Germany",1500-3000 USD,Rainy,May,1182.55,Male,GuestHouse,"['German', 'English']",Solo
"Berlin, Germany","Tokyo, Japan",1500-3000 USD,Humid,August,8915.53,Female,Hotel,['Japanese'],Friends
"Lisbon, Portugal","Hanoi, Vietnam",500-800 USD,Rainy,May,10538.36,Male,GuestHouse,['Vietnamese'],Friends
"Bangkok, Thailand","Cape Town, South Africa",800-1500 USD,Windy,October,10145.34,Female,Hotel,"['English', 'Afrikaans', 'Xhosa']",Solo
"Hanoi, Vietnam","Los Angeles, USA",1500-3000 USD,Rainy,January,12315.95,Male,GuestHouse,"['English', 'Spanish']",Solo
"London, UK","Bangkok, Thailand",500-800 USD,Humid,June,9531.82,Male,GuestHouse,"['Thai', 'English']",Couple
"Cape Town, South Africa","Berlin, Germany",1500-3000 USD,Snowy,December,9624.59,Female,Hotel,"['German', 'English']",Solo
"Moscow, Russia","Lisbon, Portugal",800-1500 USD,Rainy,October,3905.89,Female,GuestHouse,['Portuguese'],Couple
"Rome, Italy",Singapore,1500-3000 USD,Sunny,February,10016.63,Male,GuestHouse,"['English', 'Mandarin']",Couple
"Los Angeles, USA","Vienna, Austria",1500-3000 USD,Sunny,June,9818.52,Male,Airbnb,['German'],Solo
"Nairobi, Kenya","Paris, France",1500-3000 USD,Sunny,July,6483.09,Male,Airbnb,['French'],Family
